实现,规模,模数,线程数,平均时间(秒),标准差,最小时间,最大时间,结果验证
ntt_serial,1000,5000000000000000000,1,N/A,N/A,N/A,N/A,FAIL_TIMING_NO_VALID_RUNS
ntt_pthread,1000,5000000000000000000,1,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread,1000,5000000000000000000,2,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread,1000,5000000000000000000,4,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread,1000,5000000000000000000,8,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,1000,5000000000000000000,1,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,1000,5000000000000000000,2,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,1000,5000000000000000000,4,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,1000,5000000000000000000,8,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,1000,5000000000000000000,1,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,1000,5000000000000000000,2,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,1000,5000000000000000000,4,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,1000,5000000000000000000,8,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_crt_arbitrary_serial,1000,5000000000000000000,1,0.036373,0.000093,0.036284,0.036502,PASS
ntt_crt_arbitrary_pthread,1000,5000000000000000000,1,0.036542,0.000499,0.036138,0.037245,PASS
ntt_crt_arbitrary_pthread,1000,5000000000000000000,2,0.035833,0.000275,0.035539,0.036200,PASS
ntt_crt_arbitrary_pthread,1000,5000000000000000000,4,0.036297,0.000281,0.035902,0.036531,PASS
ntt_crt_arbitrary_pthread,1000,5000000000000000000,8,0.036431,0.000407,0.036114,0.037005,PASS
ntt_crt_arbitrary_openmp,1000,5000000000000000000,1,0.036977,0.000147,0.036806,0.037164,PASS
ntt_crt_arbitrary_openmp,1000,5000000000000000000,2,0.036630,0.000306,0.036216,0.036947,PASS
ntt_crt_arbitrary_openmp,1000,5000000000000000000,4,0.036838,0.000176,0.036589,0.036979,PASS
ntt_crt_arbitrary_openmp,1000,5000000000000000000,8,0.038130,0.000938,0.036916,0.039201,PASS
ntt_serial,10000,7340033,1,0.025072,0.000474,0.024562,0.025703,PASS_REF_SELF_SKIP
ntt_pthread,10000,7340033,1,0.030842,0.001811,0.029484,0.033401,PASS
ntt_pthread,10000,7340033,2,0.023063,0.001183,0.021446,0.024242,PASS
ntt_pthread,10000,7340033,4,0.022069,0.001183,0.020399,0.022993,PASS
ntt_pthread,10000,7340033,8,0.029280,0.001981,0.026687,0.031496,PASS
ntt_pthread_optimized,10000,7340033,1,0.027336,0.001370,0.026269,0.029271,PASS
ntt_pthread_optimized,10000,7340033,2,0.018870,0.000011,0.018855,0.018878,PASS
ntt_pthread_optimized,10000,7340033,4,0.017113,0.000345,0.016793,0.017591,PASS
ntt_pthread_optimized,10000,7340033,8,0.018228,0.000702,0.017708,0.019221,PASS
ntt_openmp,10000,7340033,1,0.025226,0.000161,0.025014,0.025404,PASS
ntt_openmp,10000,7340033,2,0.018578,0.000337,0.018175,0.018999,PASS
ntt_openmp,10000,7340033,4,0.016057,0.000319,0.015818,0.016508,PASS
ntt_openmp,10000,7340033,8,0.039220,0.001102,0.038190,0.040748,PASS
ntt_crt_arbitrary_serial,10000,7340033,1,0.082733,0.000196,0.082561,0.083008,PASS
ntt_crt_arbitrary_pthread,10000,7340033,1,0.047782,0.000245,0.047566,0.048125,PASS
ntt_crt_arbitrary_pthread,10000,7340033,2,0.039361,0.000474,0.038693,0.039741,PASS
ntt_crt_arbitrary_pthread,10000,7340033,4,0.034427,0.000359,0.033936,0.034785,PASS
ntt_crt_arbitrary_pthread,10000,7340033,8,0.034909,0.000251,0.034562,0.035150,PASS
ntt_crt_arbitrary_openmp,10000,7340033,1,0.084008,0.000628,0.083329,0.084844,PASS
ntt_crt_arbitrary_openmp,10000,7340033,2,0.058874,0.000513,0.058153,0.059310,PASS
ntt_crt_arbitrary_openmp,10000,7340033,4,0.037374,0.001075,0.035878,0.038352,PASS
ntt_crt_arbitrary_openmp,10000,7340033,8,0.037181,0.000424,0.036613,0.037633,PASS
ntt_serial,10000,104857601,1,0.025898,0.000285,0.025570,0.026264,PASS_REF_SELF_SKIP
ntt_pthread,10000,104857601,1,0.033508,0.000843,0.032376,0.034396,PASS
ntt_pthread,10000,104857601,2,0.024014,0.000771,0.023215,0.025057,PASS
ntt_pthread,10000,104857601,4,0.021734,0.000712,0.021056,0.022718,PASS
ntt_pthread,10000,104857601,8,0.032006,0.002247,0.029746,0.035070,PASS
ntt_pthread_optimized,10000,104857601,1,0.030130,0.000701,0.029205,0.030901,PASS
ntt_pthread_optimized,10000,104857601,2,0.022148,0.000540,0.021391,0.022614,PASS
ntt_pthread_optimized,10000,104857601,4,0.019133,0.000648,0.018232,0.019727,PASS
ntt_pthread_optimized,10000,104857601,8,0.019222,0.000217,0.019039,0.019527,PASS
ntt_openmp,10000,104857601,1,0.025514,0.000069,0.025417,0.025566,PASS
ntt_openmp,10000,104857601,2,0.017861,0.000114,0.017702,0.017964,PASS
