实现,规模,模数,线程数,平均时间(秒),标准差,最小时间,最大时间,结果验证
ntt_crt_arbitrary_pthread,10000,469762049,4,0.061497,0.012784,0.048181,0.078745,PASS
ntt_crt_arbitrary_pthread,10000,469762049,8,0.052461,0.011368,0.043106,0.068461,PASS
ntt_crt_arbitrary_openmp,10000,469762049,1,0.061354,0.001706,0.058996,0.062972,PASS
ntt_crt_arbitrary_openmp,10000,469762049,2,0.077061,0.008965,0.066726,0.088588,PASS
ntt_crt_arbitrary_openmp,10000,469762049,4,0.060718,0.009044,0.053441,0.073465,PASS
ntt_crt_arbitrary_openmp,10000,469762049,8,0.089631,0.005050,0.083871,0.096167,PASS
ntt_serial,10000,1337006139375617,1,0.050673,0.008283,0.039429,0.059139,PASS_REF_SELF_SKIP
ntt_pthread,10000,1337006139375617,1,0.056000,0.006123,0.051468,0.064656,PASS
ntt_pthread,10000,1337006139375617,2,0.062676,0.004003,0.057769,0.067574,PASS
ntt_pthread,10000,1337006139375617,4,0.050681,0.009593,0.037884,0.060979,PASS
ntt_pthread,10000,1337006139375617,8,0.055012,0.010222,0.043841,0.068543,PASS
ntt_pthread_optimized,10000,1337006139375617,1,0.054553,0.009982,0.041122,0.065031,PASS
ntt_pthread_optimized,10000,1337006139375617,2,0.053879,0.014051,0.041717,0.073569,PASS
ntt_pthread_optimized,10000,1337006139375617,4,0.048367,0.008427,0.037393,0.057879,PASS
ntt_pthread_optimized,10000,1337006139375617,8,0.055379,0.007883,0.047270,0.066059,PASS
ntt_openmp,10000,1337006139375617,1,0.067149,0.002481,0.063803,0.069735,PASS
ntt_openmp,10000,1337006139375617,2,0.031701,0.010328,0.022150,0.046046,PASS
ntt_openmp,10000,1337006139375617,4,0.039099,0.006896,0.031231,0.048023,PASS
ntt_openmp,10000,1337006139375617,8,0.045072,0.001010,0.043738,0.046182,PASS
ntt_crt_arbitrary_serial,10000,1337006139375617,1,0.082443,0.006605,0.075873,0.091479,PASS
ntt_crt_arbitrary_pthread,10000,1337006139375617,1,0.078566,0.001723,0.076173,0.080159,PASS
ntt_crt_arbitrary_pthread,10000,1337006139375617,2,0.066762,0.006410,0.059893,0.075319,PASS
ntt_crt_arbitrary_pthread,10000,1337006139375617,4,0.069639,0.004062,0.064264,0.074083,PASS
